,Productos,Precio/Kg,Precios,PrecioPrevio,Ofertas,Promociones
251,"
Palomitas al punto de sal ecológicas Popitas pack de 3 bolsas de 80 g.","
 Pack 3x80 G. |
13,12 €/kg","3,15 €",,,
252,"
Gusanitos ecológico Smileat sin gluten 38 gr","
 38 G. |
38,16 €/kg",,"
1,56 €","
1,45 €",3x2
253,"
Pasas ecológicas Paño 90 g.","
 90 G. |
19,33 €/kg","1,74 €",,,
254,"
Pipas crudas y peladas ecológicas Paño Nature 125 g.","
 125 G. |
12,40 €/kg","1,55 €",,,
255,"
Aperitivo de garbanzos ecológico Ecocesta 80 g.","
 80 G. |
30,00 €/kg","2,40 €",,,
256,"
Aperitivo vegetal ecológico Ecocesta 70 g.","
 70 G. |
29,29 €/kg","2,05 €",,,
257,"
Mango deshidratado en rodajas ecológico 125 g ","
 Envase De |
28,00 €/kg","3,50 €",,,
258,"
Tortitas de arroz y trigo sarraceno ecológicas Ecocesta 100 g.","
 100 G. |
13,04 €/kg","1,50 €",,,
259,"
Tortitas de maíz ecológicas Ecocesta 120 g.","
 120 G. |
13,09 €/kg","1,44 €",,,
260,"
Aceitunas hojiblanca con ajo y orégano ecológicas Campomar Nature 200 g.","
 200 G. |
7,95 €/kg","1,59 €",,,
261,"
Nachos sabor queso ecológicos Ecocesta 125 g.","
 125 G. |
16,80 €/kg","2,10 €",,,
262,,,,,,
263,"
Rollitos de primavera 280 g","
 280 G. |
3,00 €/ud","3,00 €",,,
264,"
Rollito imperial de verduras Ta-Tung 280 g.","
 280 G. |
10,36 €/kg","2,90 €",,,
265,"
Rollitos Nem de verduras Ta-Tung 160 g.","
 160 G. |
20,31 €/kg","3,25 €",,,
266,"
Arroz tres delicias 350 g","
 350 G. |
3,00 €/ud","3,00 €",,,
267,"
Tallarines con pollo al curry 300 g","
 300 G |
3,00 €/ud","3,00 €",,,
268,"
Pollo al curry 280 g","
 280 G |
10,54 €/kg","2,95 €",,,
269,"
Pollo tikka massala 300 g","
 |
13,17 €/kg","3,95 €",,,
270,"
Pad thai 300 g","
 |
13,17 €/kg","3,95 €",,,
271,"
Pollo agridulce 300 g","
 |
13,17 €/kg","3,95 €",,,
272,"
Fideos imperiales 300 g","
 |
13,17 €/kg","3,95 €",,,
273,"
Pollo al curry rojo 300 g","
 |
13,17 €/kg","3,95 €",,,
274,"
Arroz tres delicias 300 g","
 |
12,50 €/kg","3,75 €",,,
275,"
Rollito de vegetales con jamón Tayna 6 ud","
 1 Ud. |
0,50 €/ud","2,99 €",,,
276,"
Tallarines con pollo al curry 500 g aprox","
 500 G 500.0 G. Aprox |
10,00 €/kg","5,00 €",,,
277,,,,,,
278,"
Paleta ibérica bellota 100% raza ibérica Sánchez Romero Carvajal pieza 4,5 Kg aprox","
 4,5 Kg |
37,41 €/kg","159,00 €",,,
279,"
Jamón de cebo ibérico 50% raza ibérica Calidad y Origen Carrefour sin lactosa pieza de 7 kg aprox","
 7 Kg |
24,14 €/kg","169,00 €",,,
280,"
Paleta de bellota ibérica 100% raza ibérica pieza de 4,7 kg aprox","
 4.7 Kg |
46,11 €/kg","219,00 €",,,
281,,,,,,
282,"
Jamón de cebo ibérico de campo 50% raza ibérica pieza de 7 kg aprox","
 7 Kg |
23,87 €/kg","179,00 €",,,
283,"
Paleta de cebo ibérica curada 50% raza ibérica semideshuesada Serie Oro ElPozo pieza 4,5 kg aprox","
 4,5 Kg |
16,25 €/kg","65,00 €",,,
284,"
Jamón serrano Reserva Carrefour pieza 7 Kg aprox","
 7 Kg Aprox |
7,54 €/kg","49,00 €",,,
285,"
Paleta curada D.O.P Teruel De Nuestra Tierra 5 kg aprox","
 5 Kg  |
8,40 €/kg","42,00 €",,,
286,"
Jamón de cebo ibérico 50% raza ibérica Calidad y Origen Carrefour sin lactosa pieza de 7 kg aprox","
 7 Kg |
24,14 €/kg","169,00 €",,,
287,,,,,,
288,"
Queso de untar ecológico Carrefour Bio 200 g.","
 200 G. |
6,80 €/kg","1,36 €",,,
289,"
Queso rallado emmental ecológico Carrefour Bio 200g.","
 200 G. |
12,00 €/kg","2,40 €",,,
290,"
Queso fresco natural ecológico Carrefour Bio 500 g.","
 500 G. |
3,74 €/kg","1,87 €",,,
291,"
Queso emmental ecológico Carrefour Bio 200 g","
 200 G |
18,00 €/kg","3,60 €",,,
292,"
Queso gouda ecológico Carrefour Bio taco 200 g","
 200 G |
18,00 €/kg","3,60 €",,,3x2
293,"
Queso de cabra gouda madurado de Holanda ecológico Carrefour Bio cuña 250 g aprox","
 Envase De 250.0 G. Aprox |
23,95 €/kg","5,99 €",,,
294,"
Queso de vaca gouda cominos ecológico Carrefour Bio cuña 250 g aprox","
 Envase De 250.0 G. Aprox |
16,90 €/kg","4,22 €",,,
295,"
Queso maasdam ecológico Carrefour Bio taco 200 g","
 200 G |
18,00 €/kg","3,60 €",,,3x2
296,"
Queso de vaca gouda curado ecológico Carrefour Bio cuña 250 g aprox","
 Envase De 250.0 G. Aprox |
16,90 €/kg","4,22 €",,,
297,"
Queso de vaca maasdam madurado ecológico Carrefour Bio cuña 250 g aprox","
 Envase De 250.0 G. Aprox |
17,90 €/kg","4,47 €",,,
298,"
Queso feta ecológico Carrefour 180 g.","
 180 G. |
11,67 €/kg","2,10 €",,,
299,"
Queso gouda lonchas ecológico Carrefour Bio 200 g.","
 200 G. |
10,95 €/kg","2,19 €",,,
300,"
Queso parmesano reggiano Carrefour Bio 150 g","
 150 G |
39,67 €/kg","5,95 €",,,
301,"
Queso blanco pasteurizado ecológico Carrefour Bio 230 g.","
 230 G. |
9,13 €/kg","2,10 €",,,
302,"
Queso de cabra tierno ecológico Arte y Sabor 300 g","
 |
18,33 €/kg","5,50 €",,,
303,"
Queso en porciones ecológico La Vaca que ríe 128 g.","
 128 G. |
14,06 €/kg","1,80 €",,,
304,"
Queso manchego paraje de Sotuélamos ecológico cuña de 170 g","
 375 G Aprox |
22,94 €/kg","3,90 €",,,
305,"
Queso rulo de cabra madurado con moho ecológico 180 g","
 Pieza De |
14,44 €/kg","2,60 €",,,
306,"
Queso de untar natural ecológico Arla 200 g.","
 200 G. |
11,50 €/kg","2,30 €",,,5€ dto.
307,"
Queso de cabra ecológico Juan Luna Abrilisto cuña 1/8 250 g","
 Cuña De 250.0 G. Aprox |
21,90 €/kg","5,47 €",,,
308,"
Queso fresco feta ecológico Taverna 150 g.","
 150 G |
20,67 €/kg","3,10 €",,,
309,"
Queso feta ecológico D.O.P Hotos 200 g","
 200 G |
19,75 €/kg","3,95 €",,,
310,"
Queso parmigiano reggiano ecológico D.O.P. Parmareggio 150 g","
 150 G |
50,00 €/kg","7,50 €",,,
311,"
Queso en lonchas emmental ecológico Entremont 120 g.","
 120 G. |
20,75 €/kg","2,49 €",,,
312,,,,,,
313,"
Café frappuccino de vainilla Starbucks 250 ml.","
 250 Ml. |
6,96 €/l","1,74 €",,,
314,"
Café skinny latte Starbucks sin lactosa sin azúcares añadidos 220 g.","
 220 G. |
7,91 €/l","1,74 €",,,
315,"
Café latte cappuccino Carrefour Bio sin gluten 230 ml.","
 230 Ml. |
4,30 €/l","0,99 €",,,
316,"
Café latte descafeinado Kaiku 230 ml.","
 230 Ml. |
6,17 €/l","1,42 €",,,
317,"
Café frappuccino Starbucks 250 ml.","
 250 Ml. |
6,96 €/l","1,74 €",,,
318,"
Café espresso con leche Monster 250 ml.","
 250 Ml. |
6,12 €/l","1,53 €",,,
319,"
Café latte cappuccino Kaiku 370 ml.","
 370 Ml. |
5,54 €/l","2,05 €",,,
320,"
Café latte de vainilla Kaiku 230 ml.","
 230 Ml. |
6,17 €/l","1,42 €",,,
321,"
Café latte Colombia Edition Kaiku 230 ml.","
 230 Ml. |
6,17 €/l","1,42 €",,,
322,"
Café con leche cappuccino Puleva 1 l.","
 1 L. |
1,49 €/l","1,49 €",,,
323,"
Batido de vanilla Shake Danet 211 g.","
 211 G. |
5,50 €/kg","1,16 €",,,
324,"
Batido de cacao shake Carrefour 250 ml.","
 250 Ml. |
3,00 €/l","0,75 €",,,
325,"
Café latte cappuccino Carrefour Veggie sin lactosa 240 ml.","
 240 Ml. |
3,33 €/l","0,80 €",,,
326,"
Café latte Carrefour No Lactosa sin gluten 250 ml.","
 250 Ml. |
3,40 €/l","0,85 €",,,
327,"
Batido de chocolate shake Danet 211 g.","
 211 G. |
7,39 €/kg","1,56 €",,,
328,"
Café con leche cappuccino Puleva 220 ml.","
 220 Ml. |
4,14 €/l","0,91 €",,,
329,"
Café con leche Puleva Original Deliss 220 ml.","
 220 Ml. |
4,14 €/l","0,91 €",,,
330,,,,,,
331,"
Calabacín en dados congelado Carrefour 450 g.","
 450 G. |
2,33 €/kg","1,05 €",,,
332,"
Filete de merluza sin piel congelado 850 g","
 850 G |
8,22 €/kg","6,99 €",,,
333,"
Patatas prefritas con piel Carrefour 600 g.","
 600 G. |
1,50 €/kg","0,90 €",,,
334,"
Medallones de filete de merluza Pescanova 400 g.","
 400 G. |
14,62 €/kg","5,85 €",,,3x2
335,"
Cortes de alcachofa Carrefour 400 g.","
 400 G. |
4,12 €/kg","1,65 €",,,
336,"
Lomos de merluza ultracongelados Pescanova 400 g.","
 400 G. |
16,25 €/kg","5,85 €",,,3x2
337,"
Rabas enharinadas congeladas 500 g","
 600 G. |
9,00 €/kg","4,50 €",,,
338,"
Menestra de verduras Findus 1 kg.","
 1 Kg. |
3,40 €/kg","3,40 €",,,3x2
339,"
Brócoli en floretes ecológico Carrefour Bio 600 g.","
 600 G. |
3,48 €/kg","2,09 €",,,
340,"
Coles de Bruselas Carrefour 450 g.","
 450 G. |
1,76 €/kg","0,79 €",,,
341,"
Lomo de salmón congelado Friusa 300 g","
 300 G. |
29,83 €/kg","8,95 €",,,
342,"
Anguriñas Pescanova pack de 2 unidades de 100 g.","
 Pack 2x 100 G. |
10,75 €/kg","2,15 €",,,
343,"
Zanahoria baby Carrefour 400 g.","
 400 G. |
1,92 €/kg","0,77 €",,,
344,"
Espinacas cortadas Carrefour 1 kg.","
 1 Kg. |
1,19 €/kg","1,19 €",,,
345,"
Baguetinas congeladas Maheso pack de 4 unidades de 125 g.","
 Pack De 4x125 G. |
4,00 €/kg","2,00 €",,,
346,"
Tinta de sepia congelada 2 ud de 4 g","
 1 Ud. |
0,29 €/ud","0,29 €",,,
347,"
Sepia limipia congelada 480 g","
 480 G |
11,58 €/kg","6,95 €",,,
348,"
Varitas de merluza empanadas congeladas 400 g","
 400 G Aprox |
5,62 €/kg","2,25 €",,,
349,"
Habas baby Carrefour 200 g.","
 200 G. |
4,00 €/kg","0,80 €",,,
350,"
Mix 3 verduras Carrefour 600 g.","
 600 G. |
1,85 €/kg","1,11 €",,,
351,"
Espinacas en hojas Findus 1 kg.","
 1 Kg. |
3,40 €/kg","3,40 €",,,3x2
352,"
Gambón nº1 congelado Carrefour 1 kg aprox ","
 Envase De 1000.0 G. Aprox |
9,95 €/kg","9,95 €",,,
353,"
Anillas de pota argentina Carrefour 450 g.","
 450 G. |
10,11 €/kg","4,55 €",,,
354,"
Brócoli Findus 750 g.","
 750 G. |
4,74 €/kg","3,20 €",,,5€ dto.
355,,,,,,
356,"
Tortilla de patata con cebolla 600 g","
 600 G. |
3,00 €/ud","3,00 €",,,
357,"
Tortilla de patata con cebolla 300 g","
 300 G. |
6,67 €/kg","2,00 €",,,
358,"
Tortilla de patata sin cebolla 600 g","
 600 G. |
3,00 €/ud","3,00 €",,,
359,"
Tortilla de patata con espinacas 600 g","
 600 G. |
3,00 €/ud","3,00 €",,,
360,"
Tortilla de patata con cebolla ecológica 500 g","
 500 G |
8,50 €/kg","4,25 €",,,
361,"
Tortilla de patata con cebolla 1 kg","
 1 Kg |
4,95 €/kg","4,95 €",,,
362,"
Tortilla de patata 1,5 kg","
 1,5 Kg. |
6,00 €/ud","6,00 €",,,
363,"
Tortilla de patata con espinacas 300 g","
 300 G. |
2,00 €/ud","2,00 €",,,
364,"
Tortilla de patata con chorizo 1,5 kg","
 1,5 Kg. |
7,00 €/ud","7,00 €",,,
365,,,,,,
366,"
Hogaza de pan grande ecológica Carrefour Bio 800 g aprox","
 1 Ud |
3,75 €/kg","3,00 €",,,
367,"
Masa pizza ecológica Carrefour Bio 260 g.","
 260 G. |
8,27 €/kg","2,15 €",,,
368,"
Pan tostado con trigo integral ecológico Carrefour Bio 250 g.","
 250 G. |
7,36 €/kg","1,84 €",,,
369,"
Hogaza de pan mediana ecológica Carrefour Bio 400 g aprox","
 1 Ud |
4,33 €/kg","1,95 €",,,
370,"
Pan integral 100 % ecológico con pipas de girasol Carrefour Bio 500 g","
 1 Ud |
5,00 €/kg","2,50 €",,,
371,"
Biscottes integrales ecológicos Carrefour Bio 300 g.","
 300 G. |
7,50 €/kg","2,25 €",,,
372,"
Crackers de trigo de espelta con semillas ecológicos Carrefour Bio 200 g.","
 200 G. |
8,95 €/kg","1,79 €",,,
373,"
Tartines Crujientes de Centeno y Sésamo Ecológicos Carrefour Bio 200 g.","
 200 G. |
9,65 €/kg","1,93 €",,,
374,"
Tartines Crujientes de Centeno Ecológicos Carrefour Bio 200g","
 200 G. |
8,05 €/kg","1,61 €",,,
375,"
Pan de cereales con avena integral 100% ecológico Carrefour Bio 500 g","
 1 Ud |
5,00 €/kg","2,50 €",,,
376,"
Bizcochos con huevos frescos ecológicos Carrefour Bio 125 g.","
 125 G. |
13,12 €/kg","1,64 €",,,
377,"
Masa de hojaldre ecológica Carrefour Bio 230 g.","
 230 G. |
9,35 €/kg","2,15 €",,,
378,"
Crackers con aceitunas de romero ecológicos Carrefour Bio 200 g.","
 200 G. |
8,95 €/kg","1,79 €",,,
379,"
Biscottes normales ecológicos Carrefour Bio 300 g.","
 300 G. |
7,33 €/kg","2,20 €",,,
380,"
Crackers de trigo sarraceno ecológicos Cereal Bio 185 g.","
 185 G. |
14,86 €/kg","2,75 €",,,
381,"
Pan de centeno integral con avena y semillas de lino ecológico Gerblé Bio 500 g.","
 500 G. |
6,40 €/kg","3,20 €",,,
382,"
Crackers minis con queso emmental y semillas de calabaza ecológicos Carrefour Bio 110 g.","
 110 G. |
19,09 €/kg","2,10 €",,,
383,"
Pan de centeno integral con semillas de girasol ecológico Gerblé Bio 500 g.","
 500 G. |
6,04 €/kg","3,05 €",,,
384,"
Crackers con emmental y pipas de calabaza ecológicos Carrefour Bio 200 g.","
 200 G. |
11,35 €/kg","2,27 €",,,
385,"
Crackers con quesos y tomate ecológicos Carrefour Bio 200 g.","
 200 G. |
8,95 €/kg","1,79 €",,,
386,"
Crackers minis con queso emmental y semillas de lino ecológicos Carrefour Bio 110 g.","
 110 G. |
19,09 €/kg","2,10 €",,,
387,"
Pan campestre ecólogico Carrefour Bio 1 ud","
 1 Ud |
3,85 €/kg","1,00 €",,,
388,"
Chapatita ecológica Carrefour Bio 1 ud","
 1 Ud |
0,80 €/kg","0,20 €",,,
389,"
Pan ecológico Carrefour Bio 1 ud","
 1 Ud |
5,88 €/kg","2,00 €",,,
390,,,,,,
391,"
Té verde ecológico Carrefour Bio 80 g.","
 80 G. |
19,88 €/kg","1,59 €",,,
392,"
Hinojo en bolsitas ecológico Carrefour Bio 20 ud.","
 20 Ud. |
66,79 €/kg","1,87 €",,,
393,"
Infusión digestive en bolsitas ecológica Carrefour Bio 20 ud.","
 20 Ud. |
71,43 €/kg","2,00 €",,,
394,"
Café molido natural descafeinado arábica ecológico Carrefour Bio 250 g.","
 250 G. |
18,20 €/kg","4,55 €",,,
395,"
Galletas de quinoa con canela y limón ecológicas Bio Darma sin lactosa 125 g.","
 125 G. |
23,20 €/kg","2,90 €",,,
396,"
Chocolate 52% especial postres ecológico Carrefour Bio 100 g.","
 100 G. |
10,50 €/kg","2,10 €",,,
397,"
Té rojo en bolsitas ecológico Carrefour Bio 20 ud.","
 20 Ud. |
59,29 €/kg","1,66 €",,,
398,"
Té Rooibos en bolsitas ecológico Carrefour Bio 20 ud.","
 20 Ud. |
66,79 €/kg","1,87 €",,,
399,"
Infusión buenas noches en bolsitas ecológica Carrefour Bio 20 ud.","
 20 Ud. |
71,43 €/kg","2,00 €",,,
400,"
Galletas de avena con canela ecológicas Bio Darma 125 g.","
 125 G. |
20,80 €/kg","2,60 €",,,
401,"
Barritas de cereales con fresa ecológicas Carrefour Bio 125 g.","
 125 G. |
14,72 €/kg","1,84 €",,,
402,"
Menta en bolsitas ecológica Carrefour Bio 20 ud.","
 20 Ud. |
59,29 €/kg","1,66 €",,,
403,"
Té matcha ecológico Carrefour Bio 55 g.","
 55 G. |
72,73 €/kg","4,00 €",,,
404,"
Mermelada de ciruela ecológica Carrefour Bio 350 g.","
 350 G. |
5,43 €/kg","1,90 €",,,
405,"
Galletas con avena y almendra ecológicas Bio Darma 130 g.","
 130 G. |
15,38 €/kg","2,00 €",,,
406,"
Infusión de anís verde ecológica Carrefour Bio 100 g.","
 100 G. |
15,90 €/kg","1,59 €",,,
407,"
Tila en bolsitas ecológica Carrefour Bio 20 ud.","
 20 Ud. |
66,79 €/kg","1,87 €",,,
408,"
Mermelada de naranja ecológica Carrefour Bio 350 g.","
 350 G. |
5,43 €/kg","1,90 €",,,
409,"
Galletas de avena con chocolate ecológicas Delizias Bio Darma sin lactosa 110 g.","
 110 G. |
21,82 €/kg","2,40 €",,,
410,"
Chocolate con leche con avellanas caramelizadas ecológico Carrefour Bio 100 g.","
 100 G. |
14,20 €/kg","1,42 €",,,
411,"
Café latte cappuccino Carrefour Bio sin gluten 230 ml.","
 230 Ml. |
4,30 €/l","0,99 €",,,
412,"
Té blanco en bolsitas ecológico Carrefour Bio 20 ud.","
 20 Ud. |
59,29 €/kg","1,66 €",,,
413,"
Galletas con avena y almendra ecológicas Bio Darma sin lactosa 110 g.","
 110 G. |
24,09 €/kg","2,65 €",,,
414,"
Cereales sin azúcar ecológicos Muesli Jardin Bio 375 g.","
 375 G. |
12,80 €/kg","4,80 €",,,
415,,,,,,
416,"
Espinacas con garbanzos ecológicos Campo Rico 250 g","
 250 G |
13,00 €/kg","3,25 €",,,
417,"
Guacamole Carrefour Bio tarrina 250 g","
 250 G |
12,45 €/kg","2,49 €",,,
418,"
Tortilla de patata con cebolla ecológica 500 g","
 500 G |
8,50 €/kg","4,25 €",,,
419,"
Gazpacho tradicional ecológico 1 l","
 1 L. |
3,50 €/l","3,50 €",,,
420,"
Pisto tradicional ecológico Campo Rico 250 g","
 250 G |
11,96 €/kg","2,99 €",,,
421,,,,,,
422,"
Salchichas vegetales ecológicas Carrefour Bio 230 g.","
 230 G. |
10,43 €/kg","2,40 €",,,
423,"
Jamón cocido ecológico Carrefour Bio sin gluten y sin lactosa 100 g","
 100 G |
19,90 €/kg","1,99 €",,,
424,"
Pechuga de pavo ecológico Carrefour Bio 100 g","
 100 G |
27,50 €/kg","2,75 €",,,
425,"
Pechuga de pollo ecológico Carrefour Bio 100 g","
 100 G |
27,50 €/kg","2,75 €",,,
426,"
Jamón cocido en lonchas ecológico Blancafort sin gluten y sin lactosa  80 g.","
 80 G. |
40,00 €/kg","3,20 €",,,
427,"
Salchichas de tofu al estilo frankfurt ecológicas Gerblé 280 g.","
 280 G. |
17,14 €/kg",,"
5,25 €","
4,80 €",3x2
428,"
Chorizo sarta extra ecológico Carrefour sin gluten 200 g.","
 200 G. |
18,50 €/kg","3,70 €",,,
429,"
Bacon lonchas ecológico Biobardales 100 g.","
 100 G. |
23,90 €/kg","2,39 €",,,
430,"
Preparado para legumbres ecológico Biobardales 300 g.","
 300 G. |
13,83 €/kg","4,15 €",,,
431,"
Chorizo extra ecológico en lonchas sin gluten 80 g","
 80 G |
23,75 €/kg","1,90 €",,,
432,"
Lomo embuchado ecológico Biobardales 100 g.","
 100 G. |
49,50 €/kg","4,95 €",,,
433,"
Fuet extra ecológico Biobardales 200 g.","
 200 G. |
23,75 €/kg","4,75 €",,,
434,"
Paté de campaña ecológico Eth Paté de Mía sin gluten y sin lactosa 100 g.","
 100 G. |
31,50 €/kg","3,15 €",,,
435,"
Chorizo extra ecológico loncheado Abrilisto sobre 50 g","
 Envase De |
30,00 €/kg","1,50 €",,,
436,"
Paté vegetal de champiñón ecológico Soria Natural pack 2 unidades de 50 g.","
 Pack 2x50 G. |
28,50 €/kg","2,85 €",,,
437,"
Paté vegetal de alcachofa ecológico Soria Natural pack de 2 unidades de 50 g.","
 Pack 2x50 G. |
27,00 €/kg","2,70 €",,,
438,"
Paté almendras ajos salvajes ecológico Naturgreen sin gluten 130 g.","
 130 G. |
27,31 €/kg","3,55 €",,,
439,"
Crema paté almendras olivas ecológica Naturgreen sin gluten 130 g.","
 130 G. |
27,31 €/kg","3,55 €",,,
440,"
Paté nature ecológico Naturgreen sin gluten 125 g.","
 125 G. |
24,80 €/kg","3,10 €",,,
441,"
Paté campestre ecológico Naturgreen sin gluten 125 g.","
 125 G. |
24,80 €/kg","3,10 €",,,
442,"
Fuet ecológico loncheado Embutidos Salgot 80 g","
 80 G |
40,62 €/kg","3,25 €",,,
443,"
Chorizo extra picante curado ecológico en lonchas 80 g","
 80 G |
23,75 €/kg","1,90 €",,,
444,,,,,,
445,"
Arroz negro 350 g","
 350 G. |
7,14 €/kg","2,50 €",,,2x1 Acumulación
446,"
Risotto de setas 280 g","
 |
8,93 €/kg","2,50 €",,,2x1 Acumulación
447,"
Paella 300 g","
 1 Ud |
13,30 €/kg","3,99 €",,,2x1 Acumulación
448,"
Pan de cristal jamón cocido y champiñones 300 g","
 300 G |
10,83 €/kg","3,25 €",,,2x1 Acumulación
449,"
Arroz de montaña 300 g","
 300 G |
13,30 €/kg","3,99 €",,,2x1 Acumulación
450,,,,,,
451,"
Croquetas caseras de jamón ibérico 295 g","
 295 G. |
3,49 €/ud","3,49 €",,,
452,"
Migas manchegas 200 g","
 1 Ud |
2,50 €/ud","2,50 €",,,
453,"
Viruta de patata 250 g","
 250 G. |
13,20 €/kg","3,30 €",,,
454,"
Aros a la romana rebozada al huevo 240 g","
 240 G |
16,46 €/kg","3,95 €",,,
455,"
Migas manchegas 1 kg aprox","
 Envase De 1000.0 G. Aprox |
10,00 €/kg","10,00 €",,,
456,"
Croquetas caseras de bacalao 295 g","
 295 G. |
3,69 €/ud","3,69 €",,,
457,,,,,,
458,"
Patatas baby para microondas 400 g","
 400 G |
2,37 €/kg","0,95 €",,,
459,"
Verduras para Wok mediterráneo Carrefour 400 g","
 400 G |
4,88 €/kg","1,95 €",,,
460,"
Pisto tradicional Campo Rico 380 g","
 380 G |
7,87 €/kg","2,99 €",,,
461,"
Pimientos rojos asados en tiras 360 g","
 360 G |
6,25 €/kg","2,25 €",,,
462,"
Espinacas con garbanzos ecológicos Campo Rico 250 g","
 250 G |
13,00 €/kg","3,25 €",,,
463,"
Pisto tradicional ecológico Campo Rico 250 g","
 250 G |
11,96 €/kg","2,99 €",,,
464,"
Preparado para fajitas Surinver 230 g","
 230 G |
8,48 €/kg","1,95 €",,,
465,,,,,,
466,"
Hamburguesa de tofu y algas ecológica Gerblé Bio pack de 2 unidades de 80 g.","
 2x80 G. |
16,25 €/kg",,"
3,45 €","
3,25 €",3x2
467,"
Rulo de tofu y algas ecológico Carrefour Bio 750 g.","
 750 G. |
7,93 €/kg","5,95 €",,,
468,"
Hamburguesa de tofú con queso ecológica Gerblé Bio pack de 2 unidades de 80 g.","
 2x80 G. |
23,33 €/kg","3,50 €",,,3x2
469,"
Rulo de setas y pimientos ecológico Carrefour Bio ","
 750 G. |
7,93 €/kg","5,95 €",,,
470,"
Hamburguesa de quinoa y borraja ecológica Carrefour Bio 160 g.","
 160 G. |
6,56 €/kg","2,10 €",,,
471,"
Tofu algas wakame ecológico Carrefour Bio 235 g.","
 235 G. |
9,79 €/kg","2,30 €",,,
472,"
Hamburguesa de cereales oriental ecológica Gerblé Bio pack de 2 unidades de 80 g.","
 2x80 G. |
20,00 €/kg","3,20 €",,,3x2
